school_name,borough,building_code,average_math,average_reading,average_writing,percent_tested
The Staten Island Collegiate for Humanities (Bldg 0),Staten Island,R276,,619.0,692.0,69.5
Global Studies Academy of Manhattan - Campus 1,Manhattan,M674,581.0,445.0,574.0,92.2
The Staten Island Academy for Humanities (Bldg 2),Staten Island,R584,600.0,450.0,558.0,43.2
The Manhattan Institute of Technology for Mathematics (Bldg 3),Manhattan,M741,708.0,616.0,380.0,67.9
The Bronx Collegiate for Arts (Bldg 4),Bronx,X450,518.0,540.0,620.0,70.3
The Queens Academy for Science (Bldg 5),Queens,Q893,463.0,630.0,684.0,60.2
The Brooklyn Academy for Mathematics (Bldg 6),Brooklyn,K843,394.0,395.0,497.0,44.9
The Queens Collegiate for Technology (Bldg 7),Queens,Q636,672.0,626.0,562.0,74.3
The Bronx School for for Technology (Bldg 8),Bronx,X022,399.0,638.0,618.0,54.4
Global Studies Institute of Technology of Staten Island - Campus 9,Staten Island,R406,725.0,584.0,711.0,
The Staten Island Academy for Leadership (Bldg 10),Staten Island,R453,476.0,610.0,680.0,51.5
Medicine High School of Manhattan - Campus 11,Manhattan,M017,465.0,651.0,718.0,94.6
Humanities Collegiate of Staten Island - Campus 12,Staten Island,R068,626.0,736.0,395.0,75.6
The Queens Collegiate for Leadership (Bldg 13),Queens,Q660,451.0,721.0,423.0,98.9
Science School for of Bronx - Campus 14,Bronx,X371,565.0,462.0,557.0,41.1
The Queens Collegiate for Leadership (Bldg 15),Queens,Q924,755.0,630.0,396.0,95.5
Mathematics High School of Manhattan - Campus 16,Manhattan,M099,577.0,480.0,476.0,93.0
Science Preparatory Academy of Bronx - Campus 17,Bronx,X829,,446.0,475.0,99.8
The Bronx Academy for Global Studies (Bldg 18),Bronx,X985,642.0,753.0,494.0,70.5
The Staten Island Institute of Technology for Medicine (Bldg 19),Staten Island,R587,,735.0,482.0,58.2
Global Studies School for of Queens - Campus 20,Queens,Q616,531.0,447.0,498.0,97.9
Humanities Institute of Technology of Manhattan - Campus 21,Manhattan,M213,780.0,582.0,413.0,71.6
The Manhattan School for for Medicine (Bldg 22),Manhattan,M690,555.0,729.0,373.0,51.1
The Bronx Academy for Technology (Bldg 23),Bronx,X868,724.0,664.0,446.0,89.8
Mathematics Preparatory Academy of Queens - Campus 24,Queens,Q456,671.0,665.0,679.0,41.3
Leadership High School of Manhattan - Campus 25,Manhattan,M492,647.0,566.0,371.0,87.7
Leadership Institute of Technology of Brooklyn - Campus 26,Brooklyn,K599,611.0,705.0,636.0,62.5
Global Studies High School of Brooklyn - Campus 27,Brooklyn,K689,549.0,639.0,421.0,89.5
The Queens Institute of Technology for Technology (Bldg 28),Queens,Q658,658.0,690.0,356.0,50.8
The Bronx Institute of Technology for Arts (Bldg 29),Bronx,X024,370.0,558.0,365.0,64.1
Mathematics Collegiate of Manhattan - Campus 30,Manhattan,M477,395.0,584.0,,90.6
The Manhattan Institute of Technology for Arts (Bldg 31),Manhattan,M861,607.0,620.0,406.0,71.6
The Queens High School for Science (Bldg 32),Queens,Q215,425.0,414.0,437.0,86.3
The Bronx School for for Arts (Bldg 33),Bronx,X373,755.0,626.0,583.0,71.8
Medicine Collegiate of Queens - Campus 34,Queens,Q612,506.0,692.0,502.0,84.6
Global Studies Institute of Technology of Manhattan - Campus 35,Manhattan,M790,460.0,387.0,709.0,
Technology Preparatory Academy of Staten Island - Campus 36,Staten Island,R961,468.0,645.0,366.0,97.6
The Manhattan School for for Global Studies (Bldg 37),Manhattan,M328,486.0,441.0,589.0,93.0
The Manhattan Preparatory Academy for Global Studies (Bldg 38),Manhattan,M293,764.0,468.0,426.0,90.8
The Queens School for for Law (Bldg 39),Queens,Q708,757.0,559.0,510.0,74.7
Business Preparatory Academy of Bronx - Campus 40,Bronx,X419,675.0,517.0,558.0,44.4
Humanities Preparatory Academy of Bronx - Campus 41,Bronx,X015,657.0,520.0,412.0,79.8
Business Institute of Technology of Brooklyn - Campus 42,Brooklyn,K423,731.0,632.0,504.0,85.2
Technology Academy of Staten Island - Campus 43,Staten Island,R613,605.0,700.0,705.0,69.7
The Queens Collegiate for Mathematics (Bldg 44),Queens,Q663,510.0,728.0,713.0,68.1
The Bronx Collegiate for Medicine (Bldg 45),Bronx,X034,741.0,612.0,686.0,79.8
The Manhattan Academy for Arts (Bldg 46),Manhattan,M245,425.0,493.0,622.0,41.3
The Bronx Academy for Technology (Bldg 47),Bronx,X752,660.0,525.0,684.0,60.6
The Queens Collegiate for Humanities (Bldg 48),Queens,Q937,739.0,431.0,593.0,89.3
Law Preparatory Academy of Brooklyn - Campus 49,Brooklyn,K961,672.0,590.0,541.0,82.9
The Brooklyn School for for Leadership (Bldg 50),Brooklyn,K095,746.0,,643.0,45.3
The Brooklyn Institute of Technology for Business (Bldg 51),Brooklyn,K393,570.0,386.0,520.0,62.0
The Staten Island High School for Global Studies (Bldg 52),Staten Island,R955,619.0,376.0,526.0,79.0
Medicine Institute of Technology of Queens - Campus 53,Queens,Q480,693.0,734.0,,63.8
Global Studies Institute of Technology of Manhattan - Campus 54,Manhattan,M948,719.0,712.0,426.0,45.7
Medicine Institute of Technology of Manhattan - Campus 55,Manhattan,M173,500.0,634.0,517.0,90.5
The Bronx High School for Law (Bldg 56),Bronx,X096,741.0,684.0,352.0,65.3
The Manhattan School for for Business (Bldg 57),Manhattan,M179,768.0,453.0,557.0,56.8
The Queens School for for Medicine (Bldg 58),Queens,Q890,683.0,534.0,541.0,94.6
Law Collegiate of Manhattan - Campus 59,Manhattan,M706,748.0,538.0,696.0,62.7
The Staten Island Collegiate for Technology (Bldg 60),Staten Island,R638,498.0,520.0,581.0,63.6
Technology Academy of Bronx - Campus 61,Bronx,X811,543.0,540.0,679.0,71.6
Leadership School for of Manhattan - Campus 62,Manhattan,M031,614.0,451.0,505.0,70.0
The Queens Institute of Technology for Leadership (Bldg 63),Queens,Q464,408.0,623.0,469.0,40.7
The Queens School for for Global Studies (Bldg 64),Queens,Q122,440.0,673.0,,91.0
Medicine Academy of Staten Island - Campus 65,Staten Island,R121,421.0,411.0,518.0,56.6
The Brooklyn Collegiate for Business (Bldg 66),Brooklyn,K603,627.0,650.0,502.0,99.2
The Manhattan Preparatory Academy for Global Studies (Bldg 67),Manhattan,M490,,750.0,700.0,47.9
Technology Preparatory Academy of Brooklyn - Campus 68,Brooklyn,K961,532.0,361.0,662.0,82.8
The Manhattan Institute of Technology for Business (Bldg 69),Manhattan,M780,488.0,722.0,633.0,92.5
Arts Institute of Technology of Staten Island - Campus 70,Staten Island,R987,579.0,536.0,620.0,83.3
Business School for of Bronx - Campus 71,Bronx,X289,537.0,698.0,630.0,75.6
